Time,T° 600,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
22:30:00,24.5,0.081,0.082,0.08,0.081,0.082,0.103,0.081,0.084,0.079,0.158,0.155,0.241,0.127,0.21,0.131,0.082,0.085,0.128,0.141,0.13,0.127,0.126,0.13,0.082,0.081,0.177,0.144,0.16,0.127,0.198,0.13,0.082,0.084,0.127,0.13,0.135,0.132,0.131,0.134,0.083,0.081,0.086,0.084,0.084,0.083,0.081,0.082,0.092
23:00:00,24.4,0.082,0.082,0.081,0.081,0.082,0.104,0.082,0.084,0.08,0.171,0.167,0.243,0.127,0.214,0.131,0.082,0.085,0.129,0.142,0.131,0.127,0.126,0.13,0.082,0.081,0.18,0.145,0.171,0.128,0.177,0.13,0.082,0.084,0.128,0.13,0.135,0.132,0.132,0.134,0.083,0.081,0.086,0.084,0.084,0.083,0.081,0.082,0.084
23:30:00,24.3,0.081,0.082,0.081,0.081,0.082,0.103,0.082,0.084,0.079,0.175,0.157,0.247,0.127,0.219,0.131,0.082,0.085,0.129,0.142,0.131,0.127,0.126,0.13,0.082,0.081,0.166,0.146,0.163,0.128,0.176,0.13,0.082,0.084,0.127,0.13,0.135,0.131,0.131,0.133,0.084,0.082,0.086,0.083,0.083,0.083,0.081,0.081,0.084
24:00:00,24.4,0.081,0.082,0.081,0.082,0.082,0.103,0.082,0.084,0.08,0.164,0.164,0.238,0.127,0.209,0.131,0.082,0.085,0.129,0.141,0.13,0.127,0.126,0.13,0.082,0.081,0.166,0.145,0.165,0.127,0.158,0.13,0.082,0.084,0.127,0.13,0.135,0.132,0.131,0.134,0.084,0.082,0.086,0.084,0.084,0.083,0.081,0.082,0.085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,0.033,0.033,0.033,-0.2,0.033,0.667,0.033,0.033,Max V [600],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,1,1,1,1,1,R-Squared [600],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11:15:00,16:15:00,10:15:00,10:45:00,4:45:00,0:15:00,11:15:00,10:15:00,t at Max V [600],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
